Cte;Data CT-e;Nota fiscal;Data.nf;Val.NF (BI AE);Coleta;Remetente;UF Rem.;CGC REM;Modalidade;Nome do DN;CGC DEST;N  DN;Cidade;UF Dest.;Qtde. Vol. da NF (BI J);P. Real do CTe (BI AF);P. Cub. do CTe (BI AG);Frete do CTe (BI AI);Prazo BID;PREVISAO DE ENTREGA;DATA DA ENTREGA;ATRASO;DIAS DE ATRASO;Justificado?;Cod;Justificativa;Evidenciado;Transp.;Ano;M s;Qtde. NFs do CTe;Staus;Data coleta transportador;POSSUE OCORRENCIA?;OBSERVAÇÃO;NOVA DATA PREV ENTREGA;Região;Transit Transportador2;AGING EMISSÃO NF;AGING EMISSÃO CTE;CTE 24 HRS;OTD DO CLIENTE (previsão X DATA DE ENTREGA);AGING DA PREVISÃO;WEEK DA PREVISÃO (SEMANA DO ANO);WEEK DA ENTREGA (SEMANA DO ANO);OTIF;TRANSPORTADORA REAL
1365;21/09/2026;278722/39;19/09/2026;6398,15;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;BREITKOPF CAMINHOES LTDA.;82713843000280;;JOINVILLE;SC;4;105;696,38;798,785;5;26/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;SUL;5;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;2;39;;PENDENTE DE VALIDAÇÃO;
1365;21/09/2026;278732/39;19/09/2026;5118,52;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;BREITKOPF CAMINHOES LTDA.;82713843000280;;JOINVILLE;SC;1;105;696,38;798,785;5;26/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;2;;;;;;SUL;5;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;2;39;;PENDENTE DE VALIDAÇÃO;
1359;21/09/2026;278733/39;19/09/2026;12108,33;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;AUTOMOB PARTICIPACOES S A;35654688000965;;PALMAS;TO;3;90,2;275,54;572,18;8;29/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;M S TRANSPORTES E LOCACAO LTDA;2026;9;1;;;;;;NORTE;8;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;5;40;;PENDENTE DE VALIDAÇÃO;
1372;21/09/2026;278720/39;19/09/2026;10597,39;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL CAMINHOES E ONIBUS LTDA;5442121000298;;BACABAL;MA;2;174;1326,32;2520,505;12;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;2;;;;;;NORDESTE;12;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1372;21/09/2026;278724/39;19/09/2026;10597,39;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;MONACO DIESEL CAMINHOES E ONIBUS LTDA;5442121000298;;BACABAL;MA;2;174;1326,32;2520,505;12;03/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;2;;;;;;NORDESTE;12;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;9;40;;PENDENTE DE VALIDAÇÃO;
1378;21/09/2026;278960/39;21/09/2026;4580,39;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;NOVO MUNDO CAMINHOES E EQUIPAMENTOS RODO;11840303000139;;JABOATAO DOS GUARARAPES;PE;1;43,5;331,58;882,65;13;04/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;TERMACO TERM. M. CONT. SERV ACESS. LTDA;2026;9;1;;;;;;NORDESTE;13;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;10;40;;PENDENTE DE VALIDAÇÃO;
1383;21/09/2026;278961/39;21/09/2026;4969,91;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Distribuicao;SULPARA CAMINHOES E MAQUINAS LTDA;14133730001570;;SANTAREM;PA;1;43,5;331,58;1906,58;11;02/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CARVALIMA TRANSP. LTDA;2026;9;1;;;;;;NORTE;11;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;8;40;;PENDENTE DE VALIDAÇÃO;
1366;21/09/2026;279045/39;21/09/2026;34916,92;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;DIVISA DIVINOPOLIS VEICULOS LTDA;20142097000265;;DIVINOPOLIS;MG;12;264,9;1102,17;1106,04;6;27/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;FEDERAL TRANSP. LTDA;2026;9;1;;;;;;SUDESTE;6;3;3;ATÉ 24 HRS;EM TRÂNSITO NO PRAZO;3;39;;PENDENTE DE VALIDAÇÃO;
1397;22/09/2026;279050/39;21/09/2026;19075,29;22/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;TOCAUTO CAMINHOES LTDA;7361082000300;;BALSAS;MA;2;121,2;506,8;2003,45;12;04/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;NORDESTE;12;3;2;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;10;40;;PENDENTE DE VALIDAÇÃO;
1415;24/09/2026;279784/39;22/09/2026;8530,87;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;BREITKOPF CAMINHOES LTDA.;82713843000280;;JOINVILLE;SC;6;93,5;627,3495;1450,83;5;29/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;SUL;5;2;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;5;40;;PENDENTE DE VALIDAÇÃO;
1423;24/09/2026;279655/39;21/09/2026;11107,82;24/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;;NASA CAMINHOES LTDA;33532342000101;;BRASILIA;DF;1;132,60001;563,33;979,53;7;01/10/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;CEVA LOGISTICS LTDA;2026;9;1;;;;;;CENTRO-OESTE;7;3;0;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;7;40;;PENDENTE DE VALIDAÇÃO;
1360;21/09/2026;278729/39;19/09/2026;8530,87;21/09/2026;VOLKSWAGEN TRUCK E BUS INDUSTRIA E COMER;SP;6020318000706;Transferencia;AUTOMOB PARTICIPACOES S A;35654688000531;;ELDORADO DO SUL;RS;2;87;663,16;1540,99;7;28/09/2026;;EM TRÂNSITO NO PRAZO;0;;;;NAO;RODOGENO LOGISTICA TRANSPORTE LTDA;2026;9;1;;;;;;SUL;7;5;3;ACIMA DE 24 HRS;EM TRÂNSITO NO PRAZO;4;40;;PENDENTE DE VALIDAÇÃO;
